MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
2503,1800.4086,112.5389,2.5629,0.2589,87.1466,0.7512,0.026,5
2503.2,1800.5404,110.8017,2.5609,0.2602,86.8853,0.7213,0.0407,5
2503.4,1800.6721,110.7707,2.5592,0.2506,86.4792,0.7146,0.0445,5
2503.6,1800.8038,110.0499,2.5517,0.2409,85.8985,0.7077,0.0488,5
2503.8,1800.9355,108.637,2.5508,0.2318,85.1082,0.6837,0.0524,5
2504,1801.0672,108.8856,2.5613,0.2217,84.0591,0.6876,0.0438,5
2504.2,1801.1989,107.0658,2.5669,0.2144,82.8543,0.6775,0.0399,5
2504.4,1801.3317,103.173,2.5666,0.2052,81.6455,0.6317,0.0428,5
2504.6,1801.4645,99.9546,2.5587,0.1887,80.6295,0.5515,0.0498,5
2504.8,1801.5973,95.8633,2.5496,0.1839,79.8891,0.4781,0.0607,3
2505,1801.7302,90.896,2.5442,0.1872,79.4238,0.4167,0.0723,3
2505.2,1801.863,91.6992,2.5427,0.1831,79.2876,0.4021,0.0743,3
2505.4,1801.9958,90.962,2.5364,0.1728,79.5117,0.4091,0.0709,3
2505.6,1802.1287,88.6821,2.5205,0.1705,79.8996,0.3795,0.0788,3
2505.8,1802.2615,88.4984,2.4939,0.18,80.0326,0.3464,0.0965,3
2506,1802.3943,88.7245,2.4931,0.1854,79.9234,0.3678,0.0985,3
2506.2,1802.5272,89.3604,2.5063,0.1829,79.9476,0.3742,0.0916,3
2506.4,1802.66,89.3003,2.5075,0.1803,80.2026,0.3658,0.09,3
2506.6,1802.7928,89.377,2.4935,0.1811,80.4136,0.3714,0.096,3
2506.8,1802.9257,89.591,2.494,0.1778,80.5384,0.3731,0.0943,3
2507,1803.0585,89.9322,2.499,0.1722,80.7982,0.3801,0.0894,3
2507.2,1803.1913,89.6625,2.4893,0.1698,81.1384,0.3707,0.093,3
2507.4,1803.3242,88.7804,2.4773,0.1762,81.3043,0.3618,0.1016,3
2507.6,1803.457,90.9134,2.4807,0.186,81.2813,0.3781,0.1029,3
2507.8,1803.5898,91.8665,2.5022,0.1869,81.2173,0.409,0.0902,3
2508,1803.7227,91.633,2.5186,0.1833,81.1682,0.4064,0.0824,3
2508.2,1803.8555,95.2297,2.5255,0.1823,81.0834,0.4227,0.0772,3
2508.4,1803.9883,97.4834,2.5317,0.1898,80.952,0.4953,0.0679,3
2508.6,1804.1212,98.3925,2.5383,0.1964,80.8084,0.521,0.0645,5
2508.8,1804.254,97.4834,2.5417,0.1986,80.7161,0.4993,0.067,5
2509,1804.3868,97.4709,2.5485,0.1941,80.7142,0.4961,0.0635,5
2509.2,1804.5197,98.3581,2.5535,0.1904,80.793,0.5126,0.0574,5
2509.4,1804.6525,99.4836,2.5527,0.1986,80.9839,0.519,0.0596,5
2509.6,1804.7853,100.5383,2.5521,0.2077,81.1693,0.5501,0.0592,5
2509.8,1804.9182,101.523,2.558,0.2019,80.8621,0.5619,0.0533,5
2510,1805.051,100.0776,2.5684,0.1975,79.6132,0.5465,0.0496,5
2510.2,1805.1838,96.9747,2.5935,0.1933,77.7635,0.5179,0.0446,5
