WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RDT_2P,3292.8,2431.4918,119.7299,0.2453,2.5205,92.302,0.6483,0.0709,5
RDT_2P,3292.9,2431.5739,119.2243,0.239,2.543,94.3366,0.6437,0.0628,5
RDT_2P,3293,2431.6559,118.5204,0.2322,2.5627,96.7817,0.6386,0.0556,5
RDT_2P,3293.1,2431.738,115.3265,0.225,2.5731,99.3564,0.6341,0.0508,5
RDT_2P,3293.2,2431.8201,112.5947,0.2178,2.5788,101.829,0.6243,0.0485,5
RDT_2P,3293.3,2431.9021,111.1211,0.2106,2.578,104.1035,0.6055,0.0499,5
RDT_2P,3293.4,2431.9842,108.7778,0.2042,2.5719,106.118,0.5847,0.0524,4
RDT_2P,3293.5,2432.0663,105.5158,0.1984,2.5643,108.0663,0.5649,0.0561,3
RDT_2P,3293.6,2432.1483,100.6276,0.1938,2.5553,109.9711,0.5477,0.0622,3
RDT_2P,3293.7,2432.2304,97.3395,0.1909,2.5476,111.7352,0.5244,0.0664,3
RDT_2P,3293.8,2432.3125,94.2297,0.1887,2.5406,113.2856,0.5013,0.071,3
RDT_2P,3293.9,2432.3946,90.5499,0.1876,2.535,114.377,0.4826,0.0776,3
RDT_2P,3294,2432.4766,88.9589,0.1872,2.5293,114.8715,0.4517,0.0832,3
RDT_2P,3294.1,2432.5587,87.9303,0.187,2.5231,115.1425,0.4206,0.0881,3
RDT_2P,3294.2,2432.6408,86.4531,0.187,2.5155,115.3306,0.4025,0.0917,3
RDT_2P,3294.3,2432.7228,86.5811,0.1867,2.5069,116.2253,0.3638,0.0957,3
RDT_2P,3294.4,2432.8049,87.713,0.1863,2.4982,117.6309,0.3231,0.0999,3
RDT_2P,3294.5,2432.887,90.2854,0.1861,2.4908,119.9852,0.3142,0.1038,3
RDT_2P,3294.6,2432.969,91.298,0.186,2.4851,122.4535,0.3069,0.106,3
RDT_2P,3294.7,2433.0511,91.3072,0.1861,2.4807,124.8864,0.2998,0.107,3
RDT_2P,3294.8,2433.1332,89.9783,0.187,2.4795,126.6902,0.2876,0.1055,3
RDT_2P,3294.9,2433.2152,88.8181,0.1882,2.4806,128.0039,0.2784,0.1034,3
RDT_2P,3295,2433.2973,87.8258,0.1895,2.4835,128.9667,0.2728,0.101,3
RDT_2P,3295.1,2433.3794,87.5232,0.1908,2.4888,129.4963,0.2848,0.0995,3
RDT_2P,3295.2,2433.4614,87.3716,0.1921,2.4937,129.7548,0.3023,0.099,3
RDT_2P,3295.3,2433.5435,87.3573,0.1934,2.4981,129.768,0.3236,0.0991,3
RDT_2P,3295.4,2433.6256,87.7886,0.1948,2.4984,129.0097,0.337,0.1009,3
RDT_2P,3295.5,2433.7077,88.0738,0.1961,2.497,127.7501,0.34,0.1029,3
RDT_2P,3295.6,2433.7897,88.2186,0.1974,2.4939,126.0086,0.3331,0.1052,3
RDT_2P,3295.7,2433.8718,88.7376,0.1987,2.4918,123.5531,0.3191,0.1065,3
RDT_2P,3295.8,2433.9539,89.1441,0.1998,2.4917,121.016,0.3062,0.1068,3
