MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
2461.3,2435.5376,92.7448,0.2595,2.4913,83.9362,0.5364,0.0938,5
2461.4,2435.6373,90.6101,0.2477,2.5009,82.3635,0.5374,0.0848,5
2461.5,2435.7369,88.3484,0.234,2.511,80.738,0.5414,0.0775,5
2461.6,2435.8366,86.021,0.2198,2.5195,79.1444,0.543,0.0685,5
2461.7,2435.9362,83.2486,0.2063,2.5255,77.5891,0.5313,0.062,5
2461.8,2436.0358,79.7234,0.1939,2.5299,76.1542,0.4931,0.0604,5
2461.9,2436.1355,75.9907,0.1825,2.5348,74.8492,0.4294,0.0632,5
2462,2436.2351,72.7773,0.1719,2.5411,73.6568,0.3828,0.0623,5
2462.1,2436.3348,70.4668,0.1619,2.5482,72.8211,0.5118,0.0385,5
2462.2,2436.4344,68.3662,0.1525,2.5539,72.1851,0.4496,0.0409,5
2462.3,2436.534,66.0925,0.1451,2.5555,71.7442,0.3951,0.0444,5
2462.4,2436.6337,64.0905,0.1417,2.5514,71.5427,0.3466,0.0517,5
2462.5,2436.7333,62.9697,0.1421,2.5425,71.3501,0.305,0.0598,5
2462.6,2436.8329,62.6996,0.1428,2.5339,71.1604,0.2752,0.0681,5
2462.7,2436.9326,62.5428,0.1406,2.5296,70.8788,0.2666,0.0703,5
2462.8,2437.0322,61.7343,0.1339,2.5324,70.6143,0.2747,0.066,5
2462.9,2437.1319,60.416,0.1256,2.5395,70.3872,0.2854,0.0586,5
2463,2437.2315,59.3121,0.1197,2.5479,70.4743,0.2791,0.0527,5
2463.1,2437.3311,58.7379,0.1184,2.5538,70.7755,0.2597,0.0529,5
2463.2,2437.4308,58.1786,0.118,2.5563,71.385,0.2425,0.0534,5
2463.3,2437.5304,57.3223,0.1166,2.5557,72.2537,0.235,0.0546,5
2463.4,2437.6301,56.4284,0.1172,2.5519,73.1924,0.2298,0.0581,5
2463.5,2437.7297,55.9292,0.123,2.5441,74.176,0.2213,0.0636,5
2463.6,2437.8293,56.3161,0.1313,2.5311,75.2049,0.2107,0.075,5
2463.7,2437.929,58.3216,0.1378,2.5122,76.3107,0.2041,0.0875,5
2463.8,2438.0286,61.86,0.1401,2.4891,77.6089,0.2083,0.0944,0
2463.9,2438.1282,66.5665,0.1399,2.4657,79.1131,0.2246,0.104,0
2464,2438.2279,71.6465,0.1412,2.4457,80.6883,0.2183,0.1156,0
2464.1,2438.3275,75.8774,0.1492,2.4302,82.2364,0.2201,0.1231,0
2464.2,2438.4272,78.7339,0.1628,2.4164,83.5297,0.2212,0.135,0
2464.3,2438.5268,80.1325,0.1779,2.4007,84.6485,0.221,0.1492,0
2464.4,2438.6264,80.3126,0.1879,2.3805,85.4596,0.2236,0.1591,0
2464.5,2438.7261,79.5266,0.193,2.3579,86.2075,0.1837,0.1781,0
2464.6,2438.8257,78.0437,0.1967,2.337,86.9244,0.1408,0.1963,0
2464.7,2438.9254,76.5847,0.2034,2.3235,87.6817,0.1422,0.2029,0
