WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RD_2P_P,2633.25,2441.3367,120.279,0.2717,2.5533,89.4034,0.8225,0.008,5
RD_2P_P,2633.4,2441.4622,119.8179,0.2621,2.5477,86.1828,0.8056,0.0108,5
RD_2P_P,2633.55,2441.5877,120.9046,0.2614,2.5448,82.5195,0.8039,0.0109,5
RD_2P_P,2633.7,2441.7131,118.9775,0.2615,2.5511,80.6647,0.7599,0.0238,5
RD_2P_P,2633.85,2441.8386,109.7056,0.2473,2.5645,80.2001,0.6428,0.0472,5
RD_2P_P,2634,2441.9641,96.719,0.2159,2.5752,79.3758,0.5055,0.059,5
RD_2P_P,2634.15,2442.0895,85.2705,0.1818,2.5786,77.7526,0.412,0.0601,5
RD_2P_P,2634.3,2442.215,79.4379,0.1655,2.5819,75.9359,0.3826,0.0578,5
RD_2P_P,2634.45,2442.3404,79.4327,0.1599,2.589,73.5521,0.3799,0.0519,5
RD_2P_P,2634.6,2442.4659,79.0545,0.1527,2.5999,71.2259,0.3663,0.044,5
RD_2P_P,2634.75,2442.5914,77.2841,0.1372,2.613,72.1438,0.322,0.0414,5
RD_2P_P,2634.9,2442.7168,72.1179,0.1224,2.6163,74.7571,0.2588,0.0501,5
RD_2P_P,2635.05,2442.8423,66.0295,0.1161,2.5991,74.9606,0.2367,0.0608,5
RD_2P_P,2635.2,2442.9678,66.4099,0.1161,2.5659,74.9988,0.2548,0.0706,5
RD_2P_P,2635.35,2443.0932,68.6559,0.1248,2.5371,75.0124,0.2784,0.0765,5
RD_2P_P,2635.5,2443.2187,70.729,0.1334,2.5293,74.7977,0.2898,0.075,5
RD_2P_P,2635.65,2443.3442,71.2345,0.1404,2.5449,73.709,0.2324,0.0532,5
RD_2P_P,2635.8,2443.4696,71.5621,0.1307,2.5794,71.0625,0.0597,0.0128,5
RD_2P_P,2635.95,2443.5951,70.5481,0.112,2.6139,68.1067,0.0334,0.0083,6
RD_2P_P,2636.1,2443.7206,65.7576,0.0944,2.6354,69.9816,0.1458,0.0336,6
RD_2P_P,2636.25,2443.846,61.1378,0.0915,2.6405,73.59,0.218,0.0409,6
RD_2P_P,2636.4,2443.9715,65.5142,0.0994,2.6175,74.4584,0.2843,0.0516,5
RD_2P_P,2636.55,2444.097,71.9918,0.12,2.5734,74.5487,0.327,0.0723,5
RD_2P_P,2636.7,2444.2224,75.4786,0.1456,2.5279,74.7445,0.3206,0.0842,5
RD_2P_P,2636.85,2444.3479,73.6874,0.1649,2.5338,74.1592,0.2868,0.082,5
RD_2P_P,2637,2444.4733,70.1722,0.1634,2.5829,70.9782,0.3092,0.0601,5
RD_2P_P,2637.15,2444.5988,73.3158,0.1466,2.6217,69.648,0.3184,0.0463,5
RD_2P_P,2637.3,2444.7243,73.6418,0.1319,2.6229,72.0938,0.3559,0.0431,5
RD_2P_P,2637.45,2444.8497,77.5241,0.1296,2.5933,77.6962,0.3409,0.0543,5
RD_2P_P,2637.6,2444.9752,76.0989,0.1252,2.5604,79.1417,0.3275,0.0745,5
RD_2P_P,2637.75,2445.1007,81.6565,0.14,2.5262,79.4976,0.3249,0.1025,2
RD_2P_P,2637.9,2445.2261,83.3247,0.1668,2.478,79.7376,0.327,0.12,2
RD_2P_P,2638.05,2445.3516,86.2679,0.1985,2.4246,81.3064,0.3307,0.1367,2
RD_2P_P,2638.2,2445.4771,85.6877,0.2304,2.3842,84.14,0.3631,0.1597,2
RD_2P_P,2638.35,2445.6025,84.1236,0.2379,2.3617,88.128,0.3451,0.1736,2
RD_2P_P,2638.5,2445.728,86.1564,0.252,2.3564,88.6513,0.3849,0.1756,2
RD_2P_P,2638.65,2445.8535,84.1931,0.2355,2.3575,89.0106,0.3278,0.1764,2
RD_2P_P,2638.8,2445.9789,84.1016,0.2294,2.3658,88.6877,0.3223,0.1718,2
RD_2P_P,2638.95,2446.1044,81.2295,0.2233,2.3707,89.5862,0.3105,0.1695,2
RD_2P_P,2639.1,2446.2298,81.9981,0.225,2.3656,88.7537,0.3082,0.1723,2
RD_2P_P,2639.25,2446.3553,81.4299,0.2302,2.3669,88.4234,0.3253,0.1711,2
RD_2P_P,2639.4,2446.4808,84.9607,0.2208,2.3688,88.4104,0.2987,0.1699,2
RD_2P_P,2639.55,2446.6062,88.9151,0.2147,2.3834,88.0674,0.3028,0.1621,2
RD_2P_P,2639.7,2446.7317,96.3982,0.2087,2.3845,87.4181,0.2853,0.1617,2
RD_2P_P,2639.85,2446.8572,106.0332,0.2055,2.3875,87.8627,0.2854,0.1606,2
RD_2P_P,2640,2446.9826,110.7835,0.2166,2.3831,87.1994,0.3132,0.1618,2
RD_2P_P,2640.15,2447.1081,112.6863,0.2162,2.3885,84.5285,0.3319,0.1558,2
RD_2P_P,2640.3,2447.2336,110.3936,0.2166,2.4158,80.5441,0.3766,0.1371,2
RD_2P_P,2640.45,2447.359,105.6784,0.1925,2.4546,80.3739,0.3664,0.1159,2
RD_2P_P,2640.6,2447.4845,103.1555,0.1752,2.4764,82.6377,0.3424,0.1093,2
RD_2P_P,2640.75,2447.61,93.9461,0.1768,2.4534,85.0685,0.3111,0.1277,2
RD_2P_P,2640.9,2447.7354,91.2529,0.2047,2.4039,90.1403,0.3054,0.1571,2
RD_2P_P,2641.05,2447.8609,89.3895,0.2245,2.3589,91.6391,0.2893,0.181,2
RD_2P_P,2641.2,2447.9863,92.7029,0.2357,2.3361,91.6927,0.2834,0.1936,2
RD_2P_P,2641.35,2448.1118,94.5717,0.2432,2.3205,92.1343,0.2966,0.2015,2
RD_2P_P,2641.5,2448.2373,92.4135,0.2632,2.3103,92.0287,0.3386,0.2057,2
RD_2P_P,2641.65,2448.3627,91.6701,0.2732,2.3035,92.7941,0.3583,0.2077,2
RD_2P_P,2641.8,2448.4882,88.4745,0.2816,2.2943,94.4017,0.3585,0.2091,2
RD_2P_P,2641.95,2448.6137,87.7947,0.2783,2.2908,94.1407,0.3481,0.2049,2
RD_2P_P,2642.1,2448.7391,85.9795,0.2595,2.3257,91.4192,0.3592,0.1774,2
RD_2P_P,2642.25,2448.8646,83.3384,0.2257,2.3977,86.7602,0.3769,0.1388,2
RD_2P_P,2642.4,2448.9901,82.3873,0.1969,2.4521,82.0169,0.3776,0.1206,2
RD_2P_P,2642.55,2449.1155,85.1508,0.1959,2.4499,79.9447,0.3677,0.1308,2
RD_2P_P,2642.7,2449.241,93.2137,0.2135,2.4127,82.4097,0.357,0.1489,2
RD_2P_P,2642.85,2449.3665,101.5269,0.2237,2.3904,88.0846,0.3598,0.1553,2
RD_2P_P,2643,2449.4919,110.1488,0.2268,2.3924,89.6426,0.3743,0.1506,2
RD_2P_P,2643.15,2449.6174,116.1409,0.2233,2.4058,86.5942,0.3979,0.1389,2
RD_2P_P,2643.3,2449.7429,115.4188,0.2178,2.4304,84.1194,0.4331,0.12,2
RD_2P_P,2643.45,2449.8683,108.2816,0.2084,2.4669,82.6275,0.4699,0.0942,2
RD_2P_P,2643.6,2449.9938,97.1441,0.1908,2.5135,80.5831,0.4963,0.0711,3
RD_2P_P,2643.75,2450.1192,90.6624,0.1848,2.5485,78.3515,0.503,0.0633,5
RD_2P_P,2643.9,2450.2447,89.9628,0.1942,2.5552,77.9887,0.5288,0.0682,5
RD_2P_P,2644.05,2450.3702,94.2491,0.2164,2.5409,80.2005,0.6063,0.0711,5
RD_2P_P,2644.2,2450.4956,103.18,0.2433,2.523,84.0802,0.6895,0.057,5
RD_2P_P,2644.35,2450.6211,109.4643,0.2597,2.5228,86.9493,0.7458,0.032,5
RD_2P_P,2644.5,2450.7466,113.7951,0.2674,2.5243,88.1406,0.7674,0.0206,5
RD_2P_P,2644.65,2450.872,114.4158,0.267,2.5228,88.5599,0.7651,0.0218,5
RD_2P_P,2644.8,2450.9975,115.8239,0.2662,2.5169,88.7661,0.7593,0.0245,5
RD_2P_P,2644.95,2451.123,118.5311,0.2677,2.5104,89.297,0.7757,0.0186,5
RD_2P_P,2645.1,2451.2484,122.393,0.2753,2.5112,89.5637,0.7793,0.0168,5
RD_2P_P,2645.25,2451.3739,120.6602,0.2689,2.5185,89.6547,0.7551,0.0286,5
RD_2P_P,2645.4,2451.4994,113.648,0.2664,2.5097,88.774,0.682,0.0645,4
RD_2P_P,2645.55,2451.6248,105.185,0.2512,2.495,87.4488,0.5846,0.0982,2
RD_2P_P,2645.7,2451.7503,101.5321,0.2371,2.4691,86.737,0.4774,0.1204,3
RD_2P_P,2645.85,2451.8757,101.7756,0.2233,2.4407,84.8943,0.3735,0.1384,3
RD_2P_P,2646,2452.0012,95.6815,0.2097,2.4151,80.8274,0.3012,0.151,3
RD_2P_P,2646.15,2452.1267,85.2126,0.2015,2.3984,82.8715,0.2762,0.1521,3
RD_2P_P,2646.3,2452.2521,78.3464,0.1957,2.4015,86.2413,0.263,0.1524,3
RD_2P_P,2646.45,2452.3776,76.79,0.1928,2.4007,85.9215,0.2403,0.1528,3
RD_2P_P,2646.6,2452.5032,79.8805,0.1858,2.4008,85.1172,0.2393,0.1487,3
RD_2P_P,2646.75,2452.629,77,0.1823,2.4086,83.1518,0.2495,0.1344,3
RD_2P_P,2646.9,2452.7547,81.8556,0.1708,2.4342,77.9831,0.2984,0.1095,3
RD_2P_P,2647.05,2452.8805,85.6751,0.1626,2.4751,83.0839,0.3385,0.0731,3
RD_2P_P,2647.2,2453.0063,87.4021,0.139,2.5356,77.4173,0.3396,0.0384,6
RD_2P_P,2647.35,2453.1321,77.7283,0.1179,2.5886,72.0302,0.023,0.0024,6
RD_2P_P,2647.5,2453.2579,70.7479,0.1058,2.6234,67.2647,0,0,6
RD_2P_P,2647.65,2453.3837,68.9472,0.1031,2.627,64.7535,0,0,6
RD_2P_P,2647.8,2453.5095,72.0841,0.1122,2.6152,63.6849,0,0,6
RD_2P_P,2647.95,2453.6353,69.39,0.1209,2.6164,62.1167,0,0,6
RD_2P_P,2648.1,2453.7611,69.6663,0.1312,2.6347,62.1481,0.2708,0.0516,6
RD_2P_P,2648.25,2453.8869,71.0049,0.1318,2.6497,62.551,0.2906,0.0475,6
RD_2P_P,2648.4,2454.0127,75.4572,0.1324,2.6494,64.2823,0.3404,0.0366,6
RD_2P_P,2648.55,2454.1385,79.1562,0.1305,2.6332,64.9305,0.3559,0.026,6
RD_2P_P,2648.7,2454.2643,76.0013,0.1288,2.6372,65.5265,0.053,0.0053,6
RD_2P_P,2648.85,2454.3901,75.3832,0.1359,2.6172,66.269,0.3119,0.0427,6
RD_2P_P,2649,2454.5159,78.4878,0.1679,2.5666,69.4596,0.3815,0.0703,5
RD_2P_P,2649.15,2454.6416,85.9938,0.2005,2.4902,73.7535,0.4501,0.1018,3
RD_2P_P,2649.3,2454.7674,88.7481,0.2208,2.429,79.0579,0.4112,0.1344,2
RD_2P_P,2649.45,2454.8932,85.7895,0.2178,2.4025,83.9818,0.3476,0.1492,3
RD_2P_P,2649.6,2455.019,82.3864,0.2038,2.4032,84.8078,0.302,0.1487,3
RD_2P_P,2649.75,2455.1448,83.0338,0.1901,2.4157,83.2461,0.2809,0.1413,3
RD_2P_P,2649.9,2455.2706,84.0126,0.1793,2.4314,82.2068,0.2852,0.1334,3
RD_2P_P,2650.05,2455.3964,87.83,0.1903,2.4349,81.6572,0.3384,0.1305,3
RD_2P_P,2650.2,2455.5222,88.2442,0.2094,2.4366,82.6406,0.3961,0.1285,3
RD_2P_P,2650.35,2455.648,90.345,0.2121,2.4358,83.8181,0.4115,0.1231,3
RD_2P_P,2650.5,2455.7738,89.5069,0.2013,2.4711,84.3192,0.4357,0.1012,3
RD_2P_P,2650.65,2455.8996,88.7192,0.1801,2.509,83.5617,0.4359,0.0787,3
RD_2P_P,2650.8,2456.0254,85.5349,0.1658,2.5499,80.4915,0.4297,0.0636,3
RD_2P_P,2650.95,2456.1512,82.7837,0.1612,2.553,76.807,0.4171,0.0663,3
RD_2P_P,2651.1,2456.277,81.9958,0.1678,2.5327,77.2014,0.4122,0.0796,3
RD_2P_P,2651.25,2456.4028,84.0999,0.1809,2.5013,81.0662,0.4147,0.0949,3
RD_2P_P,2651.4,2456.5285,90.2021,0.1911,2.4793,83.826,0.4193,0.1033,3
RD_2P_P,2651.55,2456.6543,95.8476,0.1951,2.4772,84.2983,0.44,0.1013,3
RD_2P_P,2651.7,2456.7801,97.695,0.1993,2.4877,84.0201,0.475,0.0949,3
RD_2P_P,2651.85,2456.9059,95.7687,0.2034,2.496,83.876,0.5063,0.0921,3
RD_2P_P,2652,2457.0317,96.0982,0.2132,2.4928,83.9232,0.5178,0.0969,3
RD_2P_P,2652.15,2457.1575,99.1551,0.2191,2.4771,84.1268,0.4932,0.1071,3
RD_2P_P,2652.3,2457.2833,98.3946,0.2169,2.4601,84.5048,0.4594,0.1138,3
