MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
3168.8532,2975.0147,83.7593,0.1721,2.5598,77.0949,0.5091,0.0565,7
3169.0056,2975.1433,92.163,0.1864,2.5463,80.2131,0.5389,0.0671,7
3169.158,2975.272,95.7248,0.203,2.5223,81.1777,0.5753,0.0745,7
3169.3104,2975.4007,99.4897,0.2211,2.5134,83.2594,0.6023,0.0783,7
3169.4628,2975.5293,97.0549,0.2304,2.5064,83.6867,0.5753,0.0816,7
3169.6152,2975.658,92.4435,0.238,2.5146,83.6644,0.5133,0.0951,7
3169.7676,2975.7867,86.8133,0.2406,2.5119,84.061,0.5166,0.0986,7
3169.92,2975.9153,88.8283,0.2452,2.5051,84.0079,0.553,0.0955,7
3170.0724,2976.044,92.1073,0.2463,2.4905,84.1329,0.5869,0.0895,5
3170.2248,2976.1727,94.7987,0.2448,2.4974,84.0554,0.6231,0.0846,5
3170.3772,2976.3013,97.8487,0.254,2.5032,84.4497,0.6384,0.077,5
3170.5296,2976.43,98.7679,0.2382,2.511,84.4635,0.6434,0.0739,5
3170.682,2976.5587,101.1127,0.2354,2.5134,84.4763,0.5905,0.076,5
3170.8344,2976.6874,100.3717,0.2192,2.5122,84.7664,0.6429,0.0788,5
3170.9868,2976.816,100.7582,0.2427,2.503,84.6587,0.6275,0.0864,5
3171.1392,2976.9447,98.6233,0.2428,2.4785,85.5693,0.6023,0.0945,5
3171.2916,2977.0734,98.8043,0.2473,2.4622,85.9919,0.5848,0.1045,5
3171.444,2977.202,99.8871,0.2269,2.452,85.5963,0.4929,0.1143,5
3171.5964,2977.3307,98.851,0.2349,2.4694,85.6758,0.55,0.1031,5
3171.7488,2977.4594,95.3116,0.2372,2.4785,85.338,0.5787,0.0965,5
3171.9012,2977.588,93.8557,0.2418,2.4784,85.7761,0.5815,0.0972,5
3172.0536,2977.7167,96.1512,0.2413,2.4645,85.7648,0.5669,0.1045,2
3172.206,2977.8454,99.5097,0.2434,2.4642,85.6611,0.5744,0.1046,7
3172.3584,2977.974,96.5492,0.2582,2.4696,84.6931,0.6081,0.1018,7
3172.5108,2978.1027,88.1289,0.246,2.4712,83.9595,0.512,0.11,7
3172.6632,2978.2314,86.4431,0.2506,2.4649,84.8186,0.4954,0.1181,7
3172.8156,2978.36,88.3406,0.2464,2.4557,85.2009,0.524,0.1144,7
3172.968,2978.4887,94.8384,0.2553,2.4562,86.3255,0.5916,0.1086,7
3173.1204,2978.6174,95.2648,0.2478,2.4596,86.9649,0.5834,0.1068,7
3173.2728,2978.746,97.4469,0.2546,2.4632,86.4879,0.6109,0.1044,7
3173.4252,2978.8747,97.2704,0.2578,2.4569,86.2297,0.6127,0.1076,7
3173.5776,2979.0034,98.7107,0.2633,2.4541,85.4354,0.6241,0.1082,7
3173.73,2979.1321,97.3682,0.2632,2.4582,82.7697,0.6158,0.1052,7
3173.8824,2979.2607,95.6795,0.2411,2.4751,81.3674,0.5803,0.0982,7
3174.0348,2979.3894,92.1401,0.2328,2.4806,82.0861,0.5319,0.1013,7
3174.1872,2979.5181,87.1023,0.212,2.4512,84.2393,0.4404,0.1236,7
3174.3396,2979.6467,84.4909,0.2442,2.4043,86.9002,0.4489,0.1486,7
3174.492,2979.7754,84.8568,0.2533,2.3738,87.3818,0.4302,0.1628,7
3174.6444,2979.9041,83.3874,0.2574,2.3738,86.4366,0.4242,0.1629,7
3174.7968,2980.0327,82.2683,0.2412,2.3775,86.5112,0.3797,0.1636,7
3174.9492,2980.1614,76.6547,0.235,2.3748,86.5174,0.3756,0.1656,7
3175.1016,2980.2901,79.0951,0.2599,2.3769,86.078,0.4101,0.1647,7
3175.254,2980.4187,80.736,0.2494,2.3775,86.5954,0.4164,0.164,7
3175.4064,2980.5474,83.2549,0.2533,2.3681,86.1711,0.3978,0.1714,7
3175.5588,2980.6761,82.3443,0.2502,2.3527,85.6133,0.3715,0.1794,7
3175.7112,2980.8047,82.3443,0.2543,2.3457,86.0752,0.3899,0.1816,7
3175.8636,2980.9334,80.004,0.2764,2.3496,85.7025,0.4041,0.1787,7
3176.016,2981.0621,79.7337,0.253,2.3561,84.9784,0.3745,0.1772,7
3176.1684,2981.1907,75.1084,0.2623,2.3605,84.2363,0.3586,0.1732,7
3176.3208,2981.3194,75.1396,0.2483,2.3826,83.1547,0.3748,0.1642,7
3176.4732,2981.4481,77.9993,0.2598,2.39,82.631,0.405,0.1619,7
3176.6256,2981.5768,80.1057,0.2509,2.3777,83.1415,0.4056,0.1655,7
3176.778,2981.7054,78.0421,0.2531,2.3689,84.0312,0.3731,0.1667,7
3176.9304,2981.8341,74.7626,0.2555,2.3964,81.5459,0.3349,0.1626,7
3177.0828,2981.9628,71.7236,0.2584,2.4533,78.1393,0.3358,0.1404,7
3177.2352,2982.0914,74.4169,0.2247,2.4814,77.9746,0.3459,0.1178,7
3177.3876,2982.2201,73.7794,0.2013,2.4795,79.0109,0.371,0.1222,7
3177.54,2982.3488,77.8679,0.2138,2.4377,82.9279,0.3641,0.1476,7
3177.6924,2982.4774,74.0545,0.2419,2.394,85.7214,0.3413,0.1743,7
3177.8448,2982.6061,73.4326,0.2636,2.3567,86.0087,0.3161,0.1846,7
3177.9972,2982.7348,70.4632,0.2573,2.3578,85.509,0.3455,0.1749,7
3178.1496,2982.8634,75.9559,0.2524,2.3762,85.5538,0.4059,0.1512,7
3178.302,2982.9921,80.6814,0.235,2.4144,85.4761,0.399,0.1343,7
3178.4544,2983.1208,81.3418,0.2098,2.433,85.129,0.3871,0.1353,7
3178.6068,2983.2494,77.5292,0.2172,2.4214,85.6983,0.3882,0.1537,7
3178.7592,2983.3781,77.6316,0.2398,2.3812,85.8577,0.3941,0.1696,7
3178.9116,2983.5068,78.2769,0.2632,2.3643,85.9011,0.4206,0.1714,7
3179.064,2983.6354,81.0399,0.2679,2.3642,83.6817,0.3859,0.1674,7
