MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
2531.85,2443.2245,59.0997,0.1916,2.5242,94.6114,0.0736,0.1656,2
2532,2443.3709,59.8424,0.2007,2.5198,73.093,0.0873,0.1695,2
2532.15,2443.5172,64.7474,0.2221,2.5073,72.3262,0.1424,0.1744,2
2532.3,2443.6635,68.3356,0.2367,2.476,73.4071,0.1922,0.1806,2
2532.45,2443.8098,68.2925,0.2419,2.4349,85.2562,0.1987,0.1912,2
2532.6,2443.9561,69.1667,0.2338,2.4172,126.1894,0.2088,0.188,2
2532.75,2444.1024,70.723,0.2269,2.4109,125.0845,0.2283,0.1795,2
2532.9,2444.2487,73.4376,0.2313,2.4113,121.3777,0.2625,0.1747,2
2533.05,2444.395,70.1195,0.2283,2.4237,120.8816,0.2252,0.177,2
2533.2,2444.5413,67.9811,0.239,2.4377,119.9646,0.1958,0.1868,2
2533.35,2444.6876,65.4283,0.2432,2.4446,98.6529,0.1626,0.195,2
2533.5,2444.8339,68.9064,0.2276,2.4385,94.0573,0.206,0.1757,2
2533.65,2444.9802,67.14,0.2175,2.4285,137.4255,0.1836,0.1741,2
2533.8,2445.1266,71.3637,0.1976,2.4257,101.4147,0.2388,0.1469,2
2533.95,2445.2729,73.1709,0.2191,2.4184,118.7886,0.2636,0.1614,2
2534.1,2445.4192,76.7501,0.2177,2.4076,120.8229,0.3091,0.1547,2
2534.25,2445.5655,77.8453,0.2358,2.4004,139.0694,0.3194,0.1684,2
2534.4,2445.7118,74.1153,0.2434,2.3931,130.1227,0.2679,0.1859,2
2534.55,2445.8581,68.0158,0.2472,2.3863,106.6024,0.1876,0.2067,2
2534.7,2446.0044,61.8656,0.2577,2.3854,109.6614,0.1133,0.2302,2
2534.85,2446.1507,60.4875,0.2756,2.3898,88.0288,0.0997,0.2426,2
2535,2446.297,61.9483,0.2891,2.4202,84.7002,0.113,0.232,2
2535.15,2446.4433,60.2816,0.2704,2.4615,82.981,0.0924,0.2177,2
2535.3,2446.5896,59.2486,0.2565,2.5049,79.7682,0.079,0.202,2
2535.45,2446.7359,58.2752,0.237,2.5138,77.9794,0.0757,0.1951,2
2535.6,2446.8822,61.0732,0.2379,2.4843,78.2245,0.108,0.1964,2
2535.75,2447.0285,62.2678,0.241,2.4515,81.2223,0.1335,0.2033,2
2535.9,2447.1749,66.6332,0.2763,2.4364,81.9955,0.1785,0.2119,2
2536.05,2447.3212,67.1775,0.2901,2.4413,83.8455,0.1806,0.2133,2
2536.2,2447.4675,66.1221,0.3023,2.4431,85.8424,0.163,0.2161,2
2536.35,2447.6138,64.0588,0.2833,2.4384,85.8585,0.1648,0.2173,2
2536.5,2447.7601,69.5702,0.2787,2.435,84.2056,0.2253,0.2031,2
2536.65,2447.9064,72.2879,0.2574,2.4428,82.5425,0.2531,0.1857,2
2536.8,2448.0527,72.8938,0.2473,2.4608,82.9219,0.2457,0.1777,2
2536.95,2448.199,70.0689,0.2372,2.475,83.081,0.2222,0.1787,2
2537.1,2448.3453,70.0537,0.253,2.4756,82.6147,0.2265,0.1871,2
2537.25,2448.4916,71.1414,0.2804,2.4619,83.3433,0.2344,0.196,2
2537.4,2448.6379,70.9132,0.2999,2.4466,83.4887,0.2267,0.2032,2
2537.55,2448.7842,69.7941,0.2978,2.4375,83.3245,0.2081,0.2091,2
2537.7,2448.9305,67.9507,0.2927,2.4364,83.5086,0.1959,0.211,2
2537.85,2449.0768,68.174,0.3068,2.4395,83.9832,0.2077,0.2075,2
2538,2449.2232,69.9931,0.34,2.4425,83.8278,0.241,0.2,2
2538.15,2449.3695,73.2958,0.3579,2.4465,83.4488,0.2727,0.191,2
2538.3,2449.5158,74.8364,0.3526,2.4575,83.6855,0.2887,0.1836,2
2538.45,2449.6621,75.5657,0.3273,2.4669,83.9417,0.2944,0.1791,2
2538.6,2449.8084,75.857,0.3215,2.4728,84.2204,0.2839,0.1801,2
2538.75,2449.9547,73.9564,0.3387,2.4712,84.141,0.247,0.1876,2
2538.9,2450.101,70.4879,0.3498,2.4678,83.7573,0.1929,0.1981,2
2539.05,2450.2473,65.7518,0.3539,2.467,84.0578,0.145,0.2088,2
2539.2,2450.3936,62.9805,0.3397,2.4582,83.704,0.1264,0.2149,2
2539.35,2450.5399,62.4947,0.3357,2.4532,83.5766,0.1385,0.2166,2
2539.5,2450.6862,64.4187,0.3293,2.4415,83.7111,0.1672,0.2228,2
2539.65,2450.8325,66.7121,0.3365,2.3784,81.9571,0.2057,0.2307,3
2539.8,2450.9788,70.0299,0.3753,2.2544,81.6541,0.4139,0.1759,5
2539.95,2451.1251,74.8154,0.4017,2.2141,81.5284,0.8285,0.0515,5
2540.1,2451.2715,84.7496,0.3726,2.3314,83.8481,0.9312,0.0114,5
2540.25,2451.4178,97.9464,0.3005,2.5243,83.7713,0.7452,0.0405,5
2540.4,2451.5641,107.2021,0.2376,2.6089,83.293,0.6399,0.0551,5
2540.55,2451.7104,113.5767,0.209,2.5763,85.6243,0.6019,0.0628,5
2540.7,2451.8567,109.9084,0.2078,2.5349,81.1837,0.5823,0.0657,5
2540.85,2452.003,109.5755,0.205,2.5311,81.2751,0.5928,0.0649,5
2541,2452.1493,103.6034,0.2133,2.5332,80.6989,0.6126,0.0638,5
2541.15,2452.2956,101.4926,0.2183,2.5339,81.2236,0.6358,0.0617,5
2541.3,2452.4419,102.6275,0.2216,2.5371,81.993,0.6571,0.0569,5
2541.45,2452.5882,103.6335,0.2294,2.5492,82.5481,0.675,0.0493,5
2541.6,2452.7345,112.8604,0.2335,2.5615,82.8954,0.7369,0.0328,5
2541.75,2452.8808,113.4797,0.2263,2.562,82.9421,0.7106,0.0469,5
2541.9,2453.0271,117.4563,0.2232,2.5493,83.0864,0.6719,0.0571,5
2542.05,2453.1734,115.1925,0.228,2.5371,83.2303,0.677,0.0591,5
2542.2,2453.3198,116.425,0.2328,2.5373,83.3873,0.7104,0.0503,5
2542.35,2453.4661,113.8733,0.2369,2.5491,83.3985,0.7448,0.0317,5
2542.5,2453.6124,111.9274,0.2309,2.5571,83.3547,0.7429,0.0322,5
2542.65,2453.7587,114.1847,0.2231,2.5654,83.4104,0.7204,0.0414,5
2542.8,2453.905,118.2363,0.2243,2.5659,83.4979,0.7187,0.0432,5
2542.95,2454.0513,118.39,0.2178,2.5625,83.4355,0.6834,0.0473,5
2543.1,2454.1976,118.368,0.2351,2.5554,83.5523,0.7478,0.0299,5
2543.25,2454.3439,115.062,0.2375,2.5595,83.6305,0.7745,0.0193,5
2543.4,2454.4902,114.0174,0.2429,2.5693,83.4102,0.7962,0.0131,5
2543.55,2454.6365,109.9462,0.2408,2.568,83.4199,0.7612,0.0243,5
2543.7,2454.7828,110.8221,0.2404,2.5577,83.1711,0.7624,0.0237,5
2543.85,2454.9291,118.3512,0.2368,2.5561,83.058,0.7511,0.0285,5
2544,2455.0754,122.3501,0.2349,2.5568,83.1576,0.7568,0.026,5
2544.15,2455.2217,119.1241,0.2315,2.5648,83.3456,0.7649,0.0233,5
2544.3,2455.3681,118.3838,0.2383,2.572,84.0578,0.8156,0.0097,5
2544.45,2455.5144,118.34,0.241,2.5873,84.4839,0.844,0.005,5
2544.6,2455.6607,122.0191,0.2408,2.5965,85.372,0.8399,0.0055,5
2544.75,2455.807,115.6516,0.2473,2.5937,85.2735,0.8141,0.0095,5
2544.9,2455.9533,112.3827,0.2392,2.5887,85.2327,0.787,0.0158,5
2545.05,2456.0996,110.5393,0.2376,2.5883,85.231,0.77,0.0209,5
2545.2,2456.2459,115.9295,0.2289,2.5897,84.8899,0.7771,0.0185,5
2545.35,2456.3922,117.4754,0.2345,2.5877,84.8992,0.7925,0.0143,5
2545.5,2456.5385,121.6261,0.246,2.5744,85.0621,0.8123,0.0099,5
2545.65,2456.6848,115.9215,0.2508,2.5693,85.0339,0.8093,0.0103,5
2545.8,2456.8311,115.4129,0.2477,2.5672,85.2627,0.8032,0.0119,5
2545.95,2456.9774,112.4113,0.247,2.57,86.0974,0.7836,0.0169,5
2546.1,2457.1237,113.8452,0.2517,2.5621,87.0025,0.7863,0.0159,5
2546.25,2457.27,114.1368,0.2633,2.5438,88.3545,0.7991,0.0125,5
2546.4,2457.4164,114.5148,0.2677,2.5296,89.8962,0.7964,0.013,5
2546.55,2457.5627,118.7317,0.2641,2.5241,90.9518,0.7821,0.0173,5
2546.7,2457.709,120.7279,0.2548,2.5282,91.7394,0.7531,0.0294,5
2546.85,2457.8553,122.5293,0.243,2.5348,92.0752,0.728,0.0414,5
2547,2458.0016,118.8706,0.2411,2.5351,91.8627,0.7441,0.0341,5
2547.15,2458.1479,116.0646,0.2499,2.5379,89.7975,0.7635,0.0256,5
2547.3,2458.2942,111.227,0.2533,2.5441,84.6496,0.7036,0.0375,5
2547.45,2458.4405,99.6482,0.2306,2.5637,78.4314,0.5505,0.0557,3
2547.6,2458.5868,84.0641,0.1872,2.579,72.1629,0.3755,0.0716,2
2547.75,2458.7331,71.2632,0.1578,2.5699,67.92,0.2866,0.0877,2
2547.9,2458.8794,70.0199,0.1595,2.5378,67.5666,0.3024,0.1007,2
2548.05,2459.0257,74.1451,0.1765,2.5008,69.6373,0.3285,0.1108,2
2548.2,2459.172,74.3579,0.184,2.4771,71.9528,0.3082,0.1218,2
2548.35,2459.3183,71.6438,0.1785,2.4597,73.1108,0.2627,0.1375,2
2548.5,2459.4647,70.1252,0.1798,2.437,73.7501,0.221,0.1587,2
2548.65,2459.611,71.2338,0.1913,2.4026,74.7885,0.2011,0.1777,2
2548.8,2459.7573,72.9163,0.2038,2.3646,76.8302,0.204,0.1873,2
2548.95,2459.9036,74.4361,0.2122,2.3417,79.7296,0.2263,0.1865,2
2549.1,2460.0499,76.889,0.216,2.338,82.2344,0.2661,0.1803,2
2549.25,2460.1962,83.4854,0.2233,2.3476,84.6384,0.2911,0.1762,2
2549.4,2460.3425,88.8082,0.2244,2.3586,85.8752,0.3002,0.1756,2
2549.55,2460.4888,88.8263,0.2271,2.3587,84.9417,0.3095,0.1742,2
2549.7,2460.6351,85.0795,0.2279,2.3573,81.889,0.3165,0.1702,2
2549.85,2460.7814,77.499,0.2249,2.3622,78.8166,0.3125,0.1665,2
2550,2460.9277,76.0624,0.2195,2.3714,79.5112,0.3052,0.1636,2
2550.15,2461.074,75.7392,0.2147,2.3765,80.7934,0.3356,0.1525,2
2550.3,2461.2203,77.0025,0.2186,2.3797,81.0877,0.3396,0.1388,2
2550.45,2461.3666,74.4711,0.2129,2.4216,80.4333,0.3191,0.1283,2
2550.6,2461.513,70.6367,0.1925,2.4946,76.9242,0.2913,0.1158,2
2550.75,2461.6593,67.372,0.1652,2.5468,71.9047,0.2538,0.1007,2
2550.9,2461.8056,67.1836,0.1609,2.5546,70.9376,0.2438,0.0982,3
2551.05,2461.9519,70.5068,0.1701,2.5234,71.7512,0.2764,0.0992,3
2551.2,2462.0982,73.8226,0.1803,2.5049,73.0369,0.3171,0.1001,3
2551.35,2462.2445,74.865,0.1718,2.5028,74.9667,0.3345,0.0963,3
2551.5,2462.3908,77.3388,0.1705,2.5017,77.4067,0.3599,0.0943,3
2551.65,2462.5371,81.0556,0.1791,2.4946,78.2309,0.3873,0.0979,3
2551.8,2462.6834,84.0086,0.1954,2.4815,81.2953,0.4337,0.1003,3
2551.95,2462.8297,84.2979,0.1937,2.4786,82.0121,0.4496,0.0949,3
2552.1,2462.976,84.7724,0.1878,2.494,81.0782,0.4507,0.0891,3
2552.25,2463.1223,90.4993,0.1837,2.5006,80.7315,0.4459,0.0862,3
2552.4,2463.2686,95.8582,0.2012,2.5048,81.1925,0.4988,0.0874,3
2552.55,2463.4149,95.4789,0.2143,2.4968,81.488,0.5518,0.0847,3
2552.7,2463.5613,93.15,0.2285,2.5029,82.3944,0.558,0.0836,3
2552.85,2463.7076,97.6599,0.2284,2.514,82.4305,0.6131,0.0747,3
2553,2463.8539,100.3705,0.2354,2.5198,82.8629,0.6467,0.0719,3
2553.15,2464.0002,103.2264,0.2435,2.521,83.0379,0.6769,0.0702,3
2553.3,2464.1465,97.6587,0.2312,2.5213,82.6644,0.6106,0.0722,3
2553.45,2464.2928,95.1416,0.2196,2.5267,82.5288,0.5825,0.0707,3
2553.6,2464.4391,95.4593,0.208,2.5298,82.4451,0.5854,0.0674,3
2553.75,2464.5854,95.35,0.2176,2.5303,82.783,0.5934,0.0704,3
2553.9,2464.7317,101.9888,0.2328,2.5274,83.1032,0.6599,0.0694,3
2554.05,2464.878,104.6096,0.2337,2.5214,82.989,0.6449,0.074,3
2554.2,2465.0243,105.5721,0.2215,2.5127,82.9376,0.5927,0.0787,3
2554.35,2465.1706,102.1107,0.2161,2.5092,82.9664,0.5593,0.0831,3
2554.5,2465.3169,100.7784,0.2084,2.5015,82.5551,0.5384,0.0837,3
2554.65,2465.4632,98.5225,0.212,2.5029,82.1605,0.5613,0.0806,3
2554.8,2465.6096,96.3544,0.2178,2.5074,82.2778,0.5842,0.0775,3
2554.95,2465.7559,95.2413,0.2282,2.5146,82.2109,0.5851,0.0784,3
2555.1,2465.9022,95.85,0.2288,2.5179,81.9986,0.5878,0.0776,3
2555.25,2466.0485,94.9707,0.2227,2.5153,81.8128,0.5626,0.0781,3
2555.4,2466.1948,89.7669,0.2174,2.5198,81.799,0.5188,0.0824,3
2555.55,2466.3411,90.1389,0.2199,2.5237,82.1729,0.532,0.0807,3
2555.7,2466.4874,92.9847,0.2205,2.5258,82.7598,0.5656,0.0775,3
2555.85,2466.6337,99.1446,0.22,2.5202,83.0071,0.5924,0.0767,3
2556,2466.78,99.3021,0.2225,2.5123,82.993,0.6021,0.0754,3
2556.15,2466.9263,96.6124,0.2185,2.5115,82.425,0.5982,0.0713,3
2556.3,2467.0726,96.5403,0.2183,2.5214,81.9498,0.615,0.0653,3
2556.45,2467.2189,102.5242,0.2211,2.5344,82.7007,0.6563,0.0608,3
2556.6,2467.3652,109.142,0.2297,2.5405,83.3292,0.6767,0.0629,3
2556.75,2467.5115,109.9504,0.2327,2.5344,83.4077,0.655,0.0691,3
2556.9,2467.6579,105.1614,0.2272,2.5222,83.0435,0.6141,0.0743,3
2557.05,2467.8042,99.2611,0.2177,2.5156,82.4259,0.5713,0.0801,3
2557.2,2467.9505,98.2605,0.2128,2.5119,82.1053,0.5452,0.09,2
2557.35,2468.0968,98.8732,0.2219,2.4987,82.0447,0.5404,0.1016,2
2557.5,2468.2431,99.8048,0.2328,2.4753,82.2184,0.5427,0.11,2
2557.65,2468.3894,97.1489,0.2423,2.458,82.2825,0.5288,0.1165,2
2557.8,2468.5357,89.7486,0.2425,2.452,82.2151,0.4848,0.1272,2
2557.95,2468.682,85.5863,0.235,2.4419,82.7295,0.4265,0.1418,2
2558.1,2468.8283,87.8438,0.231,2.4163,83.3064,0.3942,0.1506,2
2558.25,2468.9746,94.9841,0.2299,2.3926,83.9585,0.4166,0.1479,2
2558.4,2469.1209,98.6555,0.2381,2.3929,85.0631,0.467,0.1401,2
2558.55,2469.2672,95.8795,0.245,2.4069,85.2967,0.4957,0.1371,2
2558.7,2469.4135,90.7537,0.2504,2.4169,85.1041,0.4787,0.1412,2
2558.85,2469.5598,87.8232,0.2449,2.412,85.0539,0.4292,0.1477,2
2559,2469.7062,84.5569,0.2348,2.4014,84.6577,0.3714,0.1535,2
2559.15,2469.8525,82.133,0.2214,2.3947,84.3689,0.3617,0.157,2
