WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RD_7P,2929.9662,2705.7779,105.824,0.281,2.608,84.627,0.6417,0.0518,4
RD_7P,2930.0424,2705.8504,106.642,0.29,2.593,83.541,0.6511,0.0587,4
RD_7P,2930.1186,2705.9229,107.591,0.297,2.558,82.184,0.662,0.0735,4
RD_7P,2930.1948,2705.9955,107.81,0.301,2.494,81.04,0.6645,0.0756,4
RD_7P,2930.271,2706.068,106.784,0.302,2.408,80.82,0.6527,0.0847,4
RD_7P,2930.3472,2706.1406,104.711,0.299,2.317,81.968,0.4883,0.1535,4
RD_7P,2930.4234,2706.2131,102.524,0.294,2.24,84.211,0.3018,0.2095,4
RD_7P,2930.4996,2706.2856,101.313,0.284,2.186,86.747,0.1472,0.2558,4
RD_7P,2930.5758,2706.3582,101.615,0.271,2.161,88.955,0.045,0.2865,4
RD_7P,2930.652,2706.4307,103.175,0.258,2.164,90.83,0.0039,0.2988,4
RD_7P,2930.7282,2706.5032,105.257,0.249,2.194,92.659,0.0365,0.2851,4
RD_7P,2930.8044,2706.5758,107.188,0.244,2.244,94.252,0.1274,0.2508,4
RD_7P,2930.8806,2706.6483,108.604,0.243,2.308,94.828,0.2636,0.2086,4
RD_7P,2930.9568,2706.7208,109.381,0.243,2.377,93.85,0.4143,0.1644,5
RD_7P,2931.033,2706.7934,109.645,0.243,2.44,91.806,0.552,0.1247,5
RD_7P,2931.1092,2706.8659,109.501,0.244,2.491,89.923,0.667,0.0736,5
RD_7P,2931.1854,2706.9384,109.044,0.245,2.526,89.075,0.6787,0.065,5
RD_7P,2931.2616,2707.011,108.27,0.248,2.544,89.178,0.6698,0.0686,5
RD_7P,2931.3378,2707.0835,107.259,0.253,2.546,89.605,0.6581,0.07,5
RD_7P,2931.414,2707.1561,106.493,0.259,2.532,89.976,0.6493,0.0783,5
RD_7P,2931.4902,2707.2286,106.715,0.264,2.508,90.265,0.6519,0.0853,5
RD_7P,2931.5664,2707.3011,108.284,0.267,2.481,90.388,0.6699,0.0714,5
RD_7P,2931.6426,2707.3737,110.98,0.271,2.458,90.058,0.6938,0.0545,5
RD_7P,2931.7188,2707.4462,114.203,0.276,2.445,89.073,0.6837,0.0614,5
RD_7P,2931.795,2707.5187,117.355,0.284,2.445,87.579,0.713,0.0426,5
RD_7P,2931.8712,2707.5913,120.074,0.292,2.457,85.875,0.7685,0.0183,5
RD_7P,2931.9474,2707.6638,122.352,0.298,2.478,84.117,0.8316,0.0055,5
RD_7P,2932.0236,2707.7363,124.363,0.299,2.503,82.434,0.8547,0.0033,5
RD_7P,2932.0998,2707.8089,126.188,0.296,2.53,81.18,0.8757,0.002,5
RD_7P,2932.176,2707.8814,127.668,0.286,2.554,80.773,0.8927,0.0013,5
RD_7P,2932.2522,2707.9539,128.429,0.271,2.574,81.244,0.9015,0.001,5
RD_7P,2932.3284,2708.0265,128.21,0.252,2.589,82.12,0.8884,0.0014,5
RD_7P,2932.4046,2708.099,127.141,0.233,2.598,82.832,0.8299,0.0057,5
RD_7P,2932.4808,2708.1716,125.525,0.215,2.601,83.209,0.7663,0.019,5
RD_7P,2932.557,2708.2441,123.77,0.202,2.602,83.451,0.7187,0.0265,5
RD_7P,2932.6332,2708.3166,122.236,0.194,2.602,83.699,0.6884,0.0272,5
RD_7P,2932.7094,2708.3892,121.006,0.191,2.604,83.826,0.68,0.0264,5
RD_7P,2932.7856,2708.4617,119.936,0.19,2.607,83.64,0.6807,0.0247,5
RD_7P,2932.8618,2708.5342,118.866,0.19,2.61,83.165,0.6851,0.023,5
RD_7P,2932.938,2708.6068,117.836,0.19,2.614,82.689,0.691,0.0206,5
RD_7P,2933.0142,2708.6793,117.082,0.192,2.615,82.52,0.7001,0.0198,5
RD_7P,2933.0904,2708.7518,116.819,0.195,2.614,82.74,0.7099,0.0201,5
RD_7P,2933.1666,2708.8244,117.093,0.2,2.612,83.191,0.7259,0.0208,5
RD_7P,2933.2428,2708.8969,117.803,0.208,2.608,83.642,0.7502,0.0223,5
RD_7P,2933.319,2708.9695,118.842,0.217,2.603,83.931,0.7768,0.0159,5
RD_7P,2933.3952,2709.042,120.005,0.223,2.599,84.018,0.7936,0.0117,5
RD_7P,2933.4714,2709.1145,120.937,0.225,2.594,83.942,0.7938,0.0117,5
RD_7P,2933.5476,2709.1871,121.495,0.221,2.591,83.759,0.7803,0.0154,5
RD_7P,2933.6238,2709.2596,121.63,0.216,2.588,83.511,0.7562,0.0232,5
RD_7P,2933.7,2709.3321,121.327,0.21,2.587,83.232,0.7326,0.0277,5
RD_7P,2933.7762,2709.4047,120.592,0.205,2.588,82.978,0.7167,0.0288,5
RD_7P,2933.8524,2709.4772,119.723,0.203,2.59,82.851,0.7136,0.0285,5
RD_7P,2933.9286,2709.5497,119.305,0.203,2.592,82.954,0.7177,0.0277,5
RD_7P,2934.0048,2709.6223,119.86,0.204,2.593,83.314,0.7233,0.0276,5
RD_7P,2934.081,2709.6948,121.289,0.206,2.592,83.849,0.7285,0.0286,5
RD_7P,2934.1572,2709.7673,123.083,0.208,2.59,84.409,0.7316,0.0302,5
RD_7P,2934.2334,2709.8399,124.818,0.212,2.587,84.864,0.7398,0.03,5
RD_7P,2934.3096,2709.9124,126.153,0.217,2.583,85.188,0.7496,0.0258,5
RD_7P,2934.3858,2709.985,126.854,0.222,2.581,85.451,0.7634,0.0206,5
RD_7P,2934.462,2710.0575,126.941,0.226,2.579,85.709,0.7737,0.0173,5
RD_7P,2934.5382,2710.13,126.6,0.227,2.578,85.938,0.7752,0.0169,5
RD_7P,2934.6144,2710.2026,126.088,0.227,2.579,86.059,0.7773,0.0163,5
RD_7P,2934.6906,2710.2751,125.724,0.224,2.582,86.058,0.7726,0.0176,5
RD_7P,2934.7668,2710.3476,125.728,0.223,2.587,86.024,0.7793,0.0157,5
RD_7P,2934.843,2710.4202,126.271,0.223,2.593,86.063,0.7915,0.0126,5
RD_7P,2934.9192,2710.4927,127.376,0.225,2.6,86.199,0.813,0.0083,5
RD_7P,2934.9954,2710.5652,128.752,0.228,2.607,86.385,0.8381,0.0049,5
RD_7P,2935.0716,2710.6378,129.86,0.23,2.612,86.561,0.8555,0.0033,5
RD_7P,2935.1478,2710.7103,130.512,0.229,2.615,86.71,0.8581,0.0032,5
RD_7P,2935.224,2710.7829,130.877,0.228,2.615,86.896,0.8545,0.0034,5
RD_7P,2935.3002,2710.8554,131.068,0.228,2.613,87.213,0.8504,0.0038,5
RD_7P,2935.3764,2710.9279,131.106,0.229,2.61,87.624,0.8478,0.004,5
RD_7P,2935.4526,2711.0005,131.011,0.231,2.609,87.935,0.853,0.0035,5
RD_7P,2935.5288,2711.073,130.773,0.234,2.61,87.955,0.8658,0.0026,5
RD_7P,2935.605,2711.1455,130.511,0.238,2.613,87.69,0.8863,0.0016,5
RD_7P,2935.6812,2711.2181,130.425,0.243,2.618,87.346,0.8932,0.0013,5
RD_7P,2935.7574,2711.2906,130.911,0.25,2.623,87.108,0.8981,0.0011,5
RD_7P,2935.8336,2711.3631,132.028,0.258,2.627,86.915,0.9094,0.0008,5
RD_7P,2935.9098,2711.4357,133.289,0.263,2.628,86.546,0.9221,0.0001,5
RD_7P,2935.986,2711.5082,133.943,0.263,2.628,85.928,0.9287,0.0001,5
RD_7P,2936.0622,2711.5807,133.426,0.259,2.626,85.255,0.9235,0.0001,5
RD_7P,2936.1384,2711.6533,131.718,0.252,2.623,84.765,0.9062,0.0009,5
RD_7P,2936.2146,2711.7258,129.502,0.246,2.62,84.475,0.8839,0.0017,5
RD_7P,2936.2908,2711.7984,127.609,0.242,2.616,84.161,0.8647,0.0027,5
RD_7P,2936.367,2711.8709,126.547,0.242,2.612,83.608,0.854,0.0035,5
RD_7P,2936.4432,2711.9434,126.224,0.243,2.608,82.858,0.8507,0.0037,5
RD_7P,2936.5194,2712.016,126.089,0.245,2.605,82.152,0.8494,0.0038,5
RD_7P,2936.5956,2712.0885,125.443,0.244,2.604,81.682,0.8429,0.0045,5
RD_7P,2936.6718,2712.161,124.01,0.24,2.604,81.469,0.8284,0.0061,5
RD_7P,2936.748,2712.2336,122.174,0.232,2.606,81.418,0.8098,0.0089,5
RD_7P,2936.8242,2712.3061,120.547,0.222,2.609,81.429,0.7934,0.0122,5
RD_7P,2936.9004,2712.3786,119.619,0.212,2.612,81.464,0.784,0.0115,5
